,Beginning Cash Balance,OpCo - ebitda,OpCo - capex,TLB - interest expense,TLB - amortization,TLB - prepayment,Equity - sweep
2020-01-31,0.0,19232649.36587108,-39653220.95523844,-33367561.319999997,0.0,-0.0,0.0
2020-02-29,-53788132.90936735,29673864.81392282,-38331446.92339714,-33367561.319999997,0.0,-0.0,0.0
2020-03-31,-95813276.33884166,67236076.95946555,-40974994.98707972,-33367561.319999997,0.0,-0.0,0.0
2020-04-30,-102919755.68645582,82724984.97977687,-39653220.95523844,-33367561.319999997,0.0,-0.0,0.0
2020-05-31,-93215552.98191738,85778383.79289527,-39653220.95523844,-33367561.319999997,0.0,-0.0,0.0
2020-06-30,-80457951.46426055,151898544.4385574,-39653220.95523844,-33367561.319999997,0.0,-0.0,0.0
2020-07-31,-1580189.3009415977,715633898.0248874,-39653220.95523844,-33367561.319999997,0.0,-0.0,0.0
2020-08-31,641032926.4487073,1104101182.0885482,-39653220.95523844,-33367561.319999997,0.0,-0.0,0.0
2020-09-30,1672113326.2620173,168580904.7264728,-39653220.95523844,-33367561.319999997,0.0,-0.0,0.0
2020-10-31,1767673448.7132518,1327167.1984712835,-39653220.95523844,-33367561.319999997,0.0,-0.0,0.0
2020-11-30,1695979833.6364849,42441600.89251732,-39653220.95523844,-33367561.319999997,0.0,-0.0,0.0
2020-12-31,1665400652.253764,44713350.86247716,-39653220.95523844,-33367561.319999997,-66735122.64,-1570358098.2010026,0.0
2021-01-31,0.0,105047920.73582049,-40446285.37434321,-25182095.215794988,0.0,-0.0,0.0
2021-02-28,39419540.14568229,80695695.01098318,-37749866.349387005,-25182095.215794988,0.0,-0.0,0.0
2021-03-31,57183273.59148348,58618966.81529668,-41794494.88682131,-25182095.215794988,0.0,-0.0,0.0
2021-04-30,48825650.304163866,47317184.56163528,-40446285.37434321,-25182095.215794988,0.0,-0.0,0.0
2021-05-31,30514454.275660947,48337306.57576922,-40446285.37434321,-25182095.215794988,0.0,-0.0,0.0
2021-06-30,13223380.26129198,139298588.85618505,-40446285.37434321,-25182095.215794988,0.0,-0.0,0.0
2021-07-31,86893588.52733883,501810331.6661706,-40446285.37434321,-25182095.215794988,0.0,-0.0,0.0
2021-08-31,523075539.6033713,796451803.4291142,-40446285.37434321,-25182095.215794988,0.0,-0.0,0.0
2021-09-30,1253898962.4423473,138197229.75739145,-40446285.37434321,-25182095.215794988,0.0,-0.0,0.0
2021-10-31,1326467811.6096005,1947697.6946056532,-40446285.37434321,-25182095.215794988,0.0,-0.0,0.0
2021-11-30,1262787128.714068,27421208.945331097,-40446285.37434321,-25182095.215794988,0.0,-0.0,0.0
2021-12-31,1224579957.0692608,41277704.242528245,-40446285.37434321,-25182095.215794988,-66735122.64,-1133494158.0816507,0.0
2022-01-31,0.0,118368333.92381386,-41255211.081830055,-19180948.812186733,0.0,-0.0,0.0
2022-02-28,57932174.02979708,88121536.63544226,-38504863.67637471,-19180948.812186733,0.0,-0.0,0.0
2022-03-31,88367898.1766779,65903702.23446059,-42630384.78455776,-19180948.812186733,0.0,-0.0,0.0
2022-04-30,92460266.81439398,35396160.63107347,-41255211.081830055,-19180948.812186733,0.0,-0.0,0.0
2022-05-31,67420267.55145065,50428268.15217039,-41255211.081830055,-19180948.812186733,0.0,-0.0,0.0
2022-06-30,57412375.80960426,110954097.67172052,-41255211.081830055,-19180948.812186733,0.0,-0.0,0.0
2022-07-31,107930313.587308,339621872.5544473,-41255211.081830055,-19180948.812186733,0.0,-0.0,0.0
2022-08-31,387116026.2477385,692304016.8494525,-41255211.081830055,-19180948.812186733,0.0,-0.0,0.0
2022-09-30,1018983883.2031741,105957112.61810206,-41255211.081830055,-19180948.812186733,0.0,-0.0,0.0
2022-10-31,1064504835.9272594,-18653787.335436687,-41255211.081830055,-19180948.812186733,0.0,-0.0,0.0
2022-11-30,985414888.697806,15584093.890279328,-41255211.081830055,-19180948.812186733,0.0,-0.0,0.0
2022-12-31,940562822.6940686,19580651.83530356,-41255211.081830055,-19180948.812186733,-66735122.64,-832972191.9953554,0.0
2023-01-31,0.0,100260316.36956273,-41374011.69272232,-14682412.239009958,0.0,-0.0,0.0
2023-02-28,44203892.43783045,72583284.60362141,-38615744.24654083,-14682412.239009958,0.0,-0.0,0.0
2023-03-31,63489020.555901065,46550884.862020254,-42753145.415813066,-14682412.239009958,0.0,-0.0,0.0
2023-04-30,52604347.763098285,21947041.860332623,-41374011.69272232,-14682412.239009958,0.0,-0.0,0.0
2023-05-31,18494965.69169863,34353313.919664145,-41374011.69272232,-14682412.239009958,0.0,-0.0,0.0
2023-06-30,-3208144.320369508,78909911.92303526,-41374011.69272232,-14682412.239009958,0.0,-0.0,0.0
2023-07-31,19645343.670933474,278291326.0729966,-41374011.69272232,-14682412.239009958,0.0,-0.0,0.0
2023-08-31,241880245.81219783,586965783.4483701,-41374011.69272232,-14682412.239009958,0.0,-0.0,0.0
2023-09-30,772789605.3288356,73254137.59796397,-41374011.69272232,-14682412.239009958,0.0,-0.0,0.0
2023-10-31,789987318.9950672,-26102899.443182934,-41374011.69272232,-14682412.239009958,0.0,-0.0,0.0
2023-11-30,707827995.620152,8530473.689808387,-41374011.69272232,-14682412.239009958,0.0,-0.0,0.0
2023-12-31,660302045.3782281,13286608.510123312,-41374011.69272232,-14682412.239009958,-66735122.64,-550797107.3166192,0.0
2024-01-31,0.0,89091890.28322801,-42201491.92657676,-11594751.089226862,0.0,-0.0,0.0
2024-02-29,35295647.26742438,63562888.71964017,-40794775.52902422,-11594751.089226862,0.0,-0.0,0.0
2024-03-31,46469009.36881347,33384724.77453386,-43608208.32412933,-11594751.089226862,0.0,-0.0,0.0
2024-04-30,24650774.72999113,18735636.330186393,-42201491.92657676,-11594751.089226862,0.0,-0.0,0.0
2024-05-31,-10409831.955626106,29769913.631192595,-42201491.92657676,-11594751.089226862,0.0,-0.0,0.0
2024-06-30,-34436161.34023714,71501462.99704398,-42201491.92657676,-11594751.089226862,0.0,-0.0,0.0
2024-07-31,-16730941.358996784,297569531.02472293,-42201491.92657676,-11594751.089226862,0.0,-0.0,0.0
2024-08-31,227042346.6499225,566367869.27694,-42201491.92657676,-11594751.089226862,0.0,-0.0,0.0
2024-09-30,739613972.9110589,73409487.13604306,-42201491.92657676,-11594751.089226862,0.0,-0.0,0.0
2024-10-31,759227217.0312984,-26868085.232713386,-42201491.92657676,-11594751.089226862,0.0,-0.0,0.0
2024-11-30,678562888.7827815,2219048.163312755,-42201491.92657676,-11594751.089226862,0.0,-0.0,0.0
2024-12-31,626985693.9302907,9904479.698975192,-42201491.92657676,-11594751.089226862,-66735122.64,-516358807.97346234,0.0
2025-01-31,0.0,89063579.11334166,-43045521.76510832,-8679281.436159553,0.0,-0.0,0.0
2025-02-28,37338775.91207379,59289305.50697157,-40175820.31410108,-8679281.436159553,0.0,-0.0,0.0
2025-03-31,47772979.66878473,27446710.29497578,-44480372.490611926,-8679281.436159553,0.0,-0.0,0.0
2025-04-30,22060036.036989033,15868143.04930001,-43045521.76510832,-8679281.436159553,0.0,-0.0,0.0
2025-05-31,-13796624.11497883,26327058.88216767,-43045521.76510832,-8679281.436159553,0.0,-0.0,0.0
2025-06-30,-39194368.43407903,74722600.79064026,-43045521.76510832,-8679281.436159553,0.0,-0.0,0.0
2025-07-31,-16196570.844706634,295033659.74712694,-43045521.76510832,-8679281.436159553,0.0,-0.0,0.0
2025-08-31,227112285.7011524,544159554.1334007,-43045521.76510832,-8679281.436159553,0.0,-0.0,0.0
2025-09-30,719547036.6332852,76678199.37731513,-43045521.76510832,-8679281.436159553,0.0,-0.0,0.0
2025-10-31,744500432.8093324,-28732509.20763161,-43045521.76510832,-8679281.436159553,0.0,-0.0,0.0
2025-11-30,664043120.4004328,-1261377.598573086,-43045521.76510832,-8679281.436159553,0.0,-0.0,0.0
2025-12-31,611056939.6005918,10253045.136502542,-43045521.76510832,-8679281.436159553,-66735122.64,-502850058.89582634,0.0
2026-01-31,0.0,85741552.05487195,-43906432.20041047,-5831355.528480421,0.0,-0.0,0.0
2026-02-28,36003764.32598106,58321779.12593344,-40979336.720383115,-5831355.528480421,0.0,-0.0,0.0
2026-03-31,47514851.203050956,28956175.089644995,-45369979.940424174,-5831355.528480421,0.0,-0.0,0.0
2026-04-30,25269690.82379136,16286967.663853887,-43906432.20041047,-5831355.528480421,0.0,-0.0,0.0
2026-05-31,-8181129.241245645,25907254.131366514,-43906432.20041047,-5831355.528480421,0.0,-0.0,0.0
2026-06-30,-32011662.838770024,80207950.60543755,-43906432.20041047,-5831355.528480421,0.0,-0.0,0.0
2026-07-31,-1541499.9622233687,305274938.07952505,-43906432.20041047,-5831355.528480421,0.0,-0.0,0.0
2026-08-31,253995650.3884108,544704355.1695495,-43906432.20041047,-5831355.528480421,0.0,-0.0,0.0
2026-09-30,748962217.8290694,79472821.95521447,-43906432.20041047,-5831355.528480421,0.0,-0.0,0.0
2026-10-31,778697252.055393,-30821957.770892214,-43906432.20041047,-5831355.528480421,0.0,-0.0,0.0
2026-11-30,698137506.5556098,663723.4899613047,-43906432.20041047,-5831355.528480421,0.0,-0.0,0.0
2026-12-31,649063442.3166802,11997581.82931301,-43906432.20041047,-5831355.528480421,-66735122.64,-544588113.7771024,0.0
2027-01-31,0.0,82719302.904776,-44784560.84441869,-2774739.3463949086,0.0,-0.0,0.0
2027-02-28,35160002.713962406,58643183.63864092,-41798923.45479078,-2774739.3463949086,0.0,-0.0,0.0
2027-03-31,49229523.55141763,31428935.53714862,-46277379.53923265,-2774739.3463949086,0.0,-0.0,0.0
2027-04-30,31606340.202938687,16839980.862103425,-44784560.84441869,-2774739.3463949086,0.0,-0.0,0.0
2027-05-31,887020.8742285101,25503350.28029795,-44784560.84441869,-2774739.3463949086,0.0,-0.0,0.0
2027-06-30,-21168929.036287136,79666499.23743191,-44784560.84441869,-2774739.3463949086,0.0,-0.0,0.0
2027-07-31,10938270.01033118,285123681.63890207,-44784560.84441869,-2774739.3463949086,0.0,-0.0,0.0
2027-08-31,248502651.45841962,563118537.6957514,-44784560.84441869,-2774739.3463949086,0.0,-0.0,0.0
2027-09-30,764061888.9633574,78674340.17584877,-44784560.84441869,-2774739.3463949086,0.0,-0.0,0.0
2027-10-31,795176928.9483926,-33004881.367015198,-44784560.84441869,-2774739.3463949086,0.0,-0.0,0.0
2027-11-30,714612747.3905638,2314492.854628108,-44784560.84441869,-2774739.3463949086,0.0,-0.0,0.0
2027-12-31,669367940.0543784,14420107.806907829,-44784560.84441869,-2774739.3463949086,-66735122.64,-488212746.63898176,-81280878.39149088
