,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84
0,Financials $(mm),2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30,2025-12-31
1,Energy Revenue,86.00824517999999,67.53940286999999,78.89585114,43.20548092,53.39134434999999,58.70533259,68.28581645,62.11819364,63.08253049999999,55.45310585,52.44133349999999,61.23897083000001,61.28592158,48.562451319999994,39.269948719999995,24.712570060189954,32.42586009601884,44.521623976205156,71.36977067214646,62.85989732934936,49.53198020243195,40.35411018503858,61.89842113682137,78.59925242531628,102.85131248410744,92.04658526656434,80.11530603543756,66.72052185227047,51.166900210344046,56.071287868109316,81.80173112435827,71.6904879390128,54.85830159488802,45.7169284419689,55.05751736572663,75.36909711929582,100.5946526769344,85.95158521996784,66.55953818934736,55.425355422281,49.039468621279994,49.91816124970358,67.64935952693466,63.25083609061922,43.09600273803073,32.94566821211073,39.54347465854395,57.15770983185484,97.76744279232882,83.553946180241,64.26416364385555,54.55297892415038,44.10816097624291,47.55820675092077,68.00824645986009,62.238193180743956,42.11587823983064,33.298334509004945,37.549388481010034,51.04799151912022,92.1560547342606,81.2644194120834,68.17969427057896,53.24339569617109,44.10834265420037,47.00424094131914,68.9970064964731,60.6511714584163,47.27603663454224,44.26261973431855,46.66449259319323,53.10338248552782,94.86208546979285,80.06282658698235,64.74360031475604,39.12235520606656,35.4556868663735,45.65125983963856,65.31168660941344,57.08618284943995,45.630652637203355,41.79942201394364,44.63860152923711,51.22205887085805
2,Delivered Fuel Expense,-50.758693769999994,-44.166895460000006,-48.13916483,-27.08231723,-35.13213564,-39.41125471,-40.05163655,-38.679920200000005,-37.82322107,-30.31963235,-32.136523880000006,-35.20324484,-40.101011240000005,-34.36619779,-27.831262969999997,-15.52136996470293,-21.426333481700212,-29.454372238949606,-43.358236576801346,-39.020162835277596,-30.822618622526015,-25.27282134674255,-39.74347738220472,-50.742587944538634,-57.64142439125851,-51.714340054615505,-49.77726238768878,-42.84970613673753,-32.89059584867796,-36.71964824964627,-48.33121907569467,-43.60174274708004,-34.2296388914453,-29.294887627243963,-34.74774912992493,-47.71867543497624,-58.17955124243904,-50.79945024026076,-41.89903174482224,-36.009984681822964,-31.898406358534093,-33.295956190745926,-41.88628212156413,-39.24683743607916,-27.91593873312123,-22.228549858054787,-26.688030454404135,-37.841758994885,-56.64909410433818,-49.41128802044339,-40.66785075163305,-35.48162286059328,-28.719593996875375,-31.530195078331776,-41.88408903362419,-38.51664251691326,-27.27894562536129,-21.85955770064573,-25.187189535266715,-34.070357563703595,-54.4275151129543,-48.834536506646884,-43.57192980748673,-34.33576353946358,-28.504990158670253,-30.734440355312945,-41.97546064103486,-37.311629282958755,-30.256848658741806,-28.51756587069067,-30.674145414118776,-35.2008921283241,-54.85099116042454,-47.31942316522569,-41.40268309652015,-25.494769128258035,-23.165787875229388,-29.771597838790587,-39.85629518530877,-35.27059301195426,-29.148814236689812,-26.876369330936228,-29.364071163492063,-33.90943916559714
3,Variable O&M Expense,-5.447772659999999,-5.81133182,-5.960908629999999,-3.8601740599999994,-4.07191312,-3.2524978300000003,-3.4867424400000004,-2.8307841000000002,-3.13318135,-2.5085104299999994,-1.7710193399999996,-3.5848630100000003,-3.27432178,-2.9370853199999996,-1.9778397099999998,-0.4339970954037369,-1.342012445311261,-2.070583942681223,-3.6918203874217035,-3.1039336156088306,-2.140971211177411,-1.5821659049401156,-2.930488358911322,-4.135644350176318,-4.750839064609557,-4.2752528325618995,-4.287473498906894,-3.5360575452017584,-2.6670047114930884,-2.9924988068124043,-4.134440875967114,-3.6654014098848755,-2.682050969848689,-1.8362897192840464,-2.8158945569998246,-4.013753215071275,-4.550147016250695,-3.927827106694542,-3.5627938192619895,-2.471956466588113,-2.1175731145442795,-2.2548577664515594,-3.0442645916784983,-2.7991918988890188,-1.7554112306596192,-1.1751645315919044,-1.3425591464098932,-2.551827541605714,-4.3629805983842616,-3.738632646111303,-3.2391641525192094,-2.4509209393760076,-1.892789586307135,-2.10679636050523,-3.020801200565704,-2.7047008095733713,-1.6731548759884496,-1.1973557703231035,-1.2516491593187329,-2.2498622346891075,-4.165984653128586,-3.6415359166499024,-3.1310649750514106,-2.3799516582134737,-1.9055000373114646,-2.0375896145636805,-3.012766479553041,-2.580919823651743,-2.071928923023058,-1.9470214836623083,-1.9955119536976,-2.4192789190120307,-4.19173245397733,-3.517613152456399,-2.911317389639565,-1.3020018826954374,-1.2818657113260084,-1.9524151047604006,-2.806518982622898,-2.3897509533979293,-1.9655414981736405,-1.7795900947405845,-1.900020676071768,-2.29695828743931
4,Net Emissions Expense,0.0,0.0,0.0,-0.108,0.0,-0.028499999999999998,-0.0249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,-0.25,0.0
5,Gross Energy Margin,29.801778749999993,17.561175589999998,24.795777680000004,12.154989629999998,14.187295589999996,16.013080049999996,24.722537459999998,20.607489340000004,22.126128079999997,22.624963069999996,18.53379027999999,22.450862979999997,17.910588559999997,11.25916821,9.460846039999998,8.757203000083285,9.657514169007362,12.996667794574323,24.319713707923412,20.73580087846293,16.568390368728522,13.249122933355913,18.974455395705323,23.72102013060133,40.45904902823937,36.05699237938691,26.050570148841896,20.33475817033117,15.609299650172993,16.359140811650636,29.33607117269649,24.42334378204788,17.94661173359404,14.335751095440898,17.243873678801883,23.63666846924831,37.864954418244665,31.22430787301254,21.097712625263142,16.94341427386993,15.023489148201621,14.367347292506096,22.718812813692033,21.204806755651028,13.424652774249871,9.29195382246404,11.26288505772992,16.764123295364126,36.755368089606364,30.4040255136863,20.357148739703298,16.620435124181085,13.4957773930604,13.92121531208376,23.103356225670193,21.016849854257323,13.163777738480903,9.99142103803611,10.860549786424585,14.727771720727507,33.56255496817771,28.788346988786614,21.47669948804082,16.52768049849404,13.697852458218648,14.232210971442509,24.00877937588521,20.758622351805805,14.947259052777378,13.54803237996557,13.74483522537685,15.483211438191688,35.819361855390966,29.225790269300255,20.42959982859631,12.325584195113088,11.008033279818102,13.927246896087576,22.64887244148178,19.425838884087767,14.516296902339903,12.893462588266832,13.124509689673268,15.015661417821605
6,Hedge P&L,2.15659882,5.998424069999999,3.4432522899999998,6.21825433,8.5067215,10.89277478,4.1044887999999995,8.35051384,5.650112459999999,5.756039540000001,2.6350141399999996,10.679564489999999,9.64072536,10.703378639999999,4.784396590000001,6.108807999999999,5.557428800000001,4.240815999999999,0.8043456000000005,2.439571199999999,2.3354399999999997,2.8696736,1.9273702999999973,1.5138104,-2.457118720000001,-1.1590393599999982,1.3355300300000004,0.8332064000000015,1.2277372800000008,1.3156063999999996,-0.0709387199999993,0.6746652800000001,0.9572064000000001,1.2522892799999996,1.1021566500000002,1.01072528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Net Energy Margin,31.958377569999993,23.559599659999996,28.239029970000004,18.373243959999996,22.694017089999996,26.905854829999996,28.827026259999997,28.958003180000006,27.776240539999996,28.381002609999996,21.16880441999999,33.130427469999994,27.551313919999995,21.962546849999995,14.24524263,14.866011000083283,15.214942969007364,17.237483794574324,25.12405930792341,23.175372078462928,18.903830368728524,16.118796533355912,20.901825695705323,25.23483053060133,38.001930308239366,34.89795301938692,27.386100178841897,21.167964570331172,16.837036930172992,17.674747211650637,29.26513245269649,25.09800906204788,18.90381813359404,15.588040375440897,18.346030328801884,24.64739374924831,37.864954418244665,31.22430787301254,21.097712625263142,16.94341427386993,15.023489148201621,14.367347292506096,22.718812813692033,21.204806755651028,13.424652774249871,9.29195382246404,11.26288505772992,16.764123295364126,36.755368089606364,30.4040255136863,20.357148739703298,16.620435124181085,13.4957773930604,13.92121531208376,23.103356225670193,21.016849854257323,13.163777738480903,9.99142103803611,10.860549786424585,14.727771720727507,33.56255496817771,28.788346988786614,21.47669948804082,16.52768049849404,13.697852458218648,14.232210971442509,24.00877937588521,20.758622351805805,14.947259052777378,13.54803237996557,13.74483522537685,15.483211438191688,35.819361855390966,29.225790269300255,20.42959982859631,12.325584195113088,11.008033279818102,13.927246896087576,22.64887244148178,19.425838884087767,14.516296902339903,12.893462588266832,13.124509689673268,15.015661417821605
8,Fixed Fuel,-1.57622837,-1.42377406,-1.58589414,-1.53579855,-1.621844,-1.7141199999999999,-1.76554602,-1.7667324,-1.71546779,-1.76745244,-1.6016850899999997,-1.58741079,-1.5842611999999998,-1.4835239999999998,-1.5858359899999999,-1.5708319999999998,-1.766596,-1.7154399999999999,-1.766596,-1.766596,-1.7154399999999999,-1.640064,-1.5346799999999998,-1.585836,-1.585836,-1.4323679999999999,-1.585836,-1.5708319999999998,-1.766596,-1.7154399999999999,-1.766596,-1.766596,-1.7154399999999999,-1.640064,-1.5346799999999998,-1.585836,-1.6254818999999998,-1.4681772,-1.6254818999999998,-1.6101027999999997,-1.8107608999999998,-1.7583259999999996,-1.8107608999999998,-1.8107608999999998,-1.7583259999999996,-1.6810655999999997,-1.5730469999999996,-1.6254818999999998,-1.6661189474999998,-1.5048816299999999,-1.6661189474999998,-1.6503553699999993,-1.8560299224999997,-1.8022841499999993,-1.8560299224999997,-1.8560299224999997,-1.8022841499999993,-1.7230922399999997,-1.6123731749999994,-1.6661189474999998,-1.7077719211874995,-1.5425036707499997,-1.7077719211874995,-1.6916142542499992,-1.9024306705624994,-1.8473412537499991,-1.9024306705624994,-1.9024306705624994,-1.8473412537499991,-1.7661695459999995,-1.6526825043749993,-1.7077719211874995,-1.7504662192171867,-1.5810662625187495,-1.7504662192171867,-1.733904610606249,-1.9499914373265614,-1.8935247850937489,-1.9499914373265614,-1.9499914373265614,-1.8935247850937489,-1.810323784649999,-1.693999566984374,-1.7504662192171867
9,Capacity Revenue,25.022841500000002,22.6012762,25.02284151,24.215653070000002,25.02284151,14.68872889,15.17839297,15.178353150000001,14.68893688,15.177937170000002,14.68893686,15.17814515,15.17814561,14.37351959,15.351936590000001,14.68872884991084,15.178353144907868,11.161787399886466,11.53384697988268,11.53384697988268,11.161787399886466,11.53384697988268,11.161787399886466,11.53384697988268,11.53384697988268,10.417668239894033,11.53384697988268,11.161787399886466,11.53384697988268,21.041999999999998,21.7434,21.7434,21.041999999999998,21.7434,21.041999999999998,21.7434,21.7434,19.639199999999995,21.7434,21.041999999999998,21.7434,15.165000000223799,15.670500000231259,15.670500000231259,15.165000000223799,15.670500000231259,15.165000000223799,15.670500000231259,15.670500000231259,14.15400000020888,15.670500000231259,15.165000000223799,15.670500000231259,15.247110000223799,15.755347000231259,15.755347000231259,15.247110000223799,15.755347000231259,15.247110000223799,15.755347000231259,15.755347000231259,14.738873000216337,15.755347000231259,15.247110000223799,15.755347000231259,15.247110000223799,15.755347000231259,15.755347000231259,15.247110000223799,15.755347000231259,15.247110000223799,15.755347000231259,15.755347000231259,14.23063600020888,15.755347000231259,15.247110000223799,15.755347000231259,15.247110000223799,15.755347000231259,15.755347000231259,15.247110000223799,15.755347000231259,15.247110000223799,15.755347000231259
10,Ancillary Services Revenue,1.5312052600000001,0.7956444400000002,1.3724055899999998,1.0986161700000001,1.158415,1.0437458699999997,1.25006065,1.1089295999999997,1.0211214600000003,1.4202640400000002,1.12381269,-0.17345338,0.89667263,0.88461715,0.90035881,0.9896693349234946,1.0641646138894947,0.9612428442639965,1.155106440303954,1.0183053989643327,1.0638650827776677,1.5856230158234228,1.209630366291606,1.1253265470707676,1.242191523925715,0.9488862828857451,0.9705765884291886,0.9894627701366774,1.0638298055671536,0.9610852156475689,1.1546150757339109,1.0180495372267948,1.0635307900977846,1.584390517472654,1.2090451388468098,1.1248864485520607,1.2218230578591207,0.9445552998009675,0.9650596125377705,0.9829131266507376,1.0532138860716354,0.9560872135355474,1.13903515620847,1.0099368129411828,1.0529312203118195,1.5453111326514373,1.1904890665333134,1.1109320449935731,1.195192396414034,0.9388927750002283,0.9578464666540941,0.9743498240588875,1.039334148781202,0.9495525976389991,1.118665258894298,0.9993298672271012,1.0390728593772884,1.494216962709847,1.1662280113357533,1.0926874213867093,1.1698466750756986,0.9335034692945889,0.9509813579553329,0.9661997042552007,1.02612411438765,0.943333279583062,1.0992782173039073,0.9892347109023395,1.025883169921884,1.445588106981893,1.143137561792121,1.0753231081939667,1.1464744632835269,0.9285337944258591,0.9446507914529292,0.9586841822607555,1.0139426610564726,0.9375982201280215,1.0814007209002476,0.9799255999661063,1.0137204773983766,1.4007456698654694,1.1218450181747504,1.0593108432381237
11,Misc Income,-0.049841159999999995,0.16512816999999994,0.01658257000000001,0.06937769999999997,0.2864839599999999,-0.13072505,0.10408072000000008,0.14629831999999995,-0.06715585000000003,-0.03993775999999987,0.04516672000000015,0.03778740000000003,-0.21481728999999997,-0.12749055,-0.04446813000000001,0.00076875,0.00076875,0.00076875,0.00076875,0.00076875,0.00076875,0.00076875,0.00076875,0.00076875,0.00076875,0.00076875,0.00076875,0.00076875,0.00076875,0.00076875,0.00076875,0.00076875,0.00076875,0.00076875,0.00076875,0.00076875,0.00076875,0.00076875,0.00076875,0.00076875,0.00076875,0.00076875,0.00076875,0.00076875,0.00076875,0.00076875,0.00076875,0.00076875,0.00076875,0.00076875,0.00076875,0.00076875,0.00076875,0.00076875,0.00076875,0.00076875,0.00076875,0.00076875,0.00076875,0.00076875,0.0007879687499999999,0.0007879687499999999,0.0007879687499999999,0.0007879687499999999,0.0007879687499999999,0.0007879687499999999,0.0007879687499999999,0.0007879687499999999,0.0007879687499999999,0.0007879687499999999,0.0007879687499999999,0.0007879687499999999,0.0008076679687499999,0.0008076679687499999,0.0008076679687499999,0.0008076679687499999,0.0008076679687499999,0.0008076679687499999,0.0008076679687499999,0.0008076679687499999,0.0008076679687499999,0.0008076679687499999,0.0008076679687499999,0.0008076679687499999
12,Total Other Inciome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Gross Margin,56.88635479999999,45.69787441,53.06496550000001,42.22109235,47.539913559999995,40.79348454,43.59401458000001,43.62485185,41.70367523999999,43.171813619999995,35.425035599999994,46.585495849999994,41.82705367,35.60966904,28.867233909999996,28.974345934917615,29.69163347780473,27.645842788724785,36.047185478110045,33.96169720730994,29.414811601392653,27.59897127906202,31.739332211883394,36.30893680755478,49.192901562047766,44.83290829216669,38.30545649715376,31.749151490354315,27.668886465622826,37.963161177298204,50.3973202784304,46.09363134927467,39.29467767369182,37.27653564291355,39.06316421764869,45.93061294780037,59.20546432610378,50.34065472281351,42.18145908780091,37.35899335052066,36.01011088427326,28.730877256265437,37.71835582013176,36.07525141882347,27.885026744785492,24.827468105346732,26.046095874487033,31.920842190588957,51.95571028875166,43.99280540889541,35.32014500908865,31.110198328463774,28.350350369572865,28.316362509946558,38.12210731229575,35.91626554921569,27.64844519808199,25.518661510977218,25.662283372984138,29.910455944845474,48.78076469104717,42.91900775629754,36.476043893789914,31.050163917473043,28.57768087102506,28.57610096624937,38.96176189160788,35.601561361126905,29.37369893792306,28.98358590992872,28.48318825176777,30.606897594179415,50.971524767657314,42.804701469384995,35.37993906903206,26.798281434960145,25.82813917174802,28.219237999314398,37.53643639325548,34.21192771492733,28.884410262837076,28.24003914168231,27.800272809056196,30.08066071004255
